EUI,ID
0x00124b0021aa36ed,3
0x00124b0021aa36fe,6
0x00124b0021aa35d4,2
0x00124b0021aa35d5,1
0x00124b0021aa36e6,5
0x00124b0021aa378b,7
0x00124b0021aa35a4,4
0x00124b0021aa3585,8
0x00124b0021aa34f5,9
