ID,Lat,Long
2,41.118770,14.8269410
1,41.1187890,14.8269580
3,41.1188090,14.8268990
6,41.1188040,14.8269010
7,41.1187870,14.8268840
5,41.1185970,14.8272080
4,41.1187470,14.8269890
8,41.1187760,14.8270250
9,41.1188160, 14.8269680
